,ALAND20,AWATER20,BLOCKCE20,COUNTYFP20,FUNCSTAT20,GEOID20,INTPTLAT20,INTPTLON20,MTFCC20,NAME20,STATEFP20,TRACTCE20,UACE20,UATYPE20,UR20,state_name,tract_code
,95741,0,1034,19,S,230190265001034,45.622615,-68.5082028,G5040,Block 1034,23,26500,,,,Maine,23019026500
,2080269,0,1015,19,S,230190280001015,45.2781429,-68.5356274,G5040,Block 1015,23,28000,,,,Maine,23019028000
,5327,0,1563,19,S,230190290001563,45.4030635,-68.6794086,G5040,Block 1563,23,29000,,,,Maine,23019029000
,223548,0,1041,19,S,230190225001041,45.1217366,-68.6109883,G5040,Block 1041,23,22500,,,,Maine,23019022500
,26611718,0,1654,19,S,230190290001654,46.3766299,-68.7827635,G5040,Block 1654,23,29000,,,,Maine,23019029000
,583727,0,2007,19,S,230190130002007,44.8711617,-69.2723904,G5040,Block 2007,23,13000,,,,Maine,23019013000
,39015066,22713,1202,19,S,230190290001202,45.8859505,-68.7467978,G5040,Block 1202,23,29000,,,,Maine,23019029000
,28394,0,1009,19,S,230190020001009,44.7667222,-68.8055559,G5040,Block 1009,23,2000,,,,Maine,23019002000
,26636892,0,2096,19,S,230190255002096,45.3736197,-68.0029092,G5040,Block 2096,23,25500,,,,Maine,23019025500
,1409,0,1107,19,S,230190245001107,45.247719,-68.514193,G5040,Block 1107,23,24500,,,,Maine,23019024500
,3326823,0,2008,19,S,230190030002008,44.7160245,-68.8125246,G5040,Block 2008,23,3000,,,,Maine,23019003000
,13513,0,2025,19,S,230190007002025,44.798647,-68.7974316,G5040,Block 2025,23,700,,,,Maine,23019000700
,1162044,0,2014,19,S,230190155002014,44.9821069,-69.095225,G5040,Block 2014,23,15500,,,,Maine,23019015500
,22770,0,3008,19,S,230190002003008,44.8077846,-68.7640374,G5040,Block 3008,23,200,,,,Maine,23019000200
,232471,0,1428,19,S,230190290001428,45.6264328,-68.8025026,G5040,Block 1428,23,29000,,,,Maine,23019029000
,11973256,0,1583,19,S,230190290001583,45.3615539,-68.635052,G5040,Block 1583,23,29000,,,,Maine,23019029000
,0,29158,1000,19,S,230190072001000,44.9480841,-68.7046376,G5040,Block 1000,23,7200,,,,Maine,23019007200
,2088612,0,1015,19,S,230190140001015,44.9614111,-69.2947061,G5040,Block 1015,23,14000,,,,Maine,23019014000
,463166,0,2015,19,S,230190130002015,44.8472341,-69.2767349,G5040,Block 2015,23,13000,,,,Maine,23019013000
,0,291557,3016,19,S,230190071003016,44.9247982,-68.6382167,G5040,Block 3016,23,7100,,,,Maine,23019007100
,24385,0,3002,19,S,230190002003002,44.8084576,-68.7575539,G5040,Block 3002,23,200,,,,Maine,23019000200
,9939,0,3003,19,S,230190062003003,44.868379,-68.6881776,G5040,Block 3003,23,6200,,,,Maine,23019006200
,989490,0,1021,19,S,230190312001021,45.0620766,-69.0359891,G5040,Block 1021,23,31200,,,,Maine,23019031200
,1152245,0,1283,19,S,230190290001283,45.8332118,-68.4538916,G5040,Block 1283,23,29000,,,,Maine,23019029000
,1329906,0,2015,19,S,230190312002015,45.01838,-68.9607945,G5040,Block 2015,23,31200,,,,Maine,23019031200
,16692350,0,1017,19,S,230190280001017,45.2706497,-68.6177703,G5040,Block 1017,23,28000,,,,Maine,23019028000
,1521843,0,1022,19,S,230190280001022,45.310775,-68.6127937,G5040,Block 1022,23,28000,,,,Maine,23019028000
,4568786,0,2089,19,S,230190255002089,45.4144975,-68.0884943,G5040,Block 2089,23,25500,,,,Maine,23019025500
,2295844,0,1007,19,S,230190280001007,45.2876973,-68.5801221,G5040,Block 1007,23,28000,,,,Maine,23019028000
,6804452,0,2046,19,S,230190265002046,45.4946674,-68.4461375,G5040,Block 2046,23,26500,,,,Maine,23019026500
,0,1769,3000,19,S,230190071003000,44.9349894,-68.6439651,G5040,Block 3000,23,7100,,,,Maine,23019007100
,2177,0,2008,19,S,230190071002008,44.9330825,-68.6403982,G5040,Block 2008,23,7100,,,,Maine,23019007100
,46469,0,2041,19,S,230190290002041,45.9973985,-68.4431037,G5040,Block 2041,23,29000,,,,Maine,23019029000
,28182,0,3008,19,S,230190009003008,44.8103807,-68.792637,G5040,Block 3008,23,900,,,,Maine,23019000900
,2613484,0,1025,19,S,230190313001025,44.8983744,-68.8968008,G5040,Block 1025,23,31300,,,,Maine,23019031300
,1959443,0,2023,19,S,230190312002023,44.9693705,-68.9869868,G5040,Block 2023,23,31200,,,,Maine,23019031200
,185238,0,4004,19,S,230190005004004,44.8028811,-68.7925012,G5040,Block 4004,23,500,,,,Maine,23019000500
,239670,0,3059,19,S,230190150003059,45.0143943,-69.3331775,G5040,Block 3059,23,15000,,,,Maine,23019015000
,735095,0,1429,19,S,230190290001429,45.630082,-68.7899946,G5040,Block 1429,23,29000,,,,Maine,23019029000
,1463107,0,1047,19,S,230190265001047,45.6002713,-68.5546825,G5040,Block 1047,23,26500,,,,Maine,23019026500
,17434,0,3009,19,S,230190043003009,44.7920064,-68.7484615,G5040,Block 3009,23,4300,,,,Maine,23019004300
,5215994,0,1028,19,S,230190215001028,45.0385492,-68.7031211,G5040,Block 1028,23,21500,,,,Maine,23019021500
