,tract_code,state_name,fips_code,total_population,population_employable,percent_population_employable,population_fishing_forestry,percent_population_fishing_forestry,population_unemployed,percent_population_unemployed,population_uninsured,percent_population_uninsured,percent_population_impoverished,population_adult,percent_population_adult,civilian_veterans,percent_adult_civilian_veterans
,23019000200,Maine,23019,"3,113","2,860",0.918727915,12,0.004195804,55,0.019230769,296,0.095085127,0.2030,"2,820",0.905878574,179,0.063475177
,23019000300,Maine,23019,"4,783","4,076",0.852184821,19,0.004661433,189,0.046368989,723,0.15116036,0.0880,"3,984",0.832950031,365,0.091616466
,23019000400,Maine,23019,"2,306","1,921",0.833044232,26,0.013534617,26,0.013534617,125,0.054206418,0.1170,"1,879",0.814830876,94,0.05002661
,23019000500,Maine,23019,"3,641","3,130",0.859653941,0,0,178,0.05686901,476,0.130733315,0.3300,"3,114",0.855259544,215,0.069043031
,23019000600,Maine,23019,"2,240","2,037",0.909375,0,0,141,0.06921944,568,0.253571429,0.3640,"2,001",0.893303571,162,0.08095952
,23019000700,Maine,23019,"2,775","2,396",0.863423423,10,0.004173623,101,0.042153589,210,0.075675676,0.1170,"2,259",0.814054054,172,0.076139885
,23019000900,Maine,23019,"6,506","4,808",0.739010144,27,0.005615641,337,0.070091514,754,0.115893022,0.4470,"4,549",0.699200738,436,0.095845241
,23019002000,Maine,23019,"7,314","6,069",0.829778507,22,0.003624979,137,0.022573735,289,0.039513262,0.0240,"5,816",0.795187312,595,0.102303989
,23019003000,Maine,23019,"3,676","3,048",0.829162133,7,0.002296588,125,0.041010499,161,0.043797606,0.0870,"2,917",0.793525571,235,0.080562221
,23019004100,Maine,23019,"1,880","1,631",0.867553191,0,0,46,0.028203556,210,0.111702128,0.2430,"1,534",0.815957447,114,0.074315515
,23019004200,Maine,23019,"2,365","1,982",0.838054968,32,0.016145308,26,0.013118063,122,0.051585624,0.0300,"1,935",0.818181818,245,0.126614987
,23019004300,Maine,23019,"4,922","3,844",0.78098334,24,0.006243496,193,0.050208117,562,0.114181227,0.0570,"3,741",0.760056887,546,0.145950281
,23019005000,Maine,23019,"1,960","1,604",0.818367347,0,0,47,0.029301746,122,0.062244898,0.1710,"1,543",0.787244898,180,0.116655865
,23019006100,Maine,23019,"3,036","2,805",0.923913043,0,0,149,0.05311943,146,0.048089592,0.5190,"2,755",0.907444005,96,0.034845735
,23019006200,Maine,23019,"3,074","2,622",0.852960312,36,0.013729977,141,0.053775744,219,0.071242681,0.1150,"2,593",0.84352635,277,0.10682607
,23019006300,Maine,23019,"4,804","4,706",0.979600333,0,0,313,0.066510837,326,0.067860117,0.4010,"4,640",0.965861782,47,0.01012931
,23019007100,Maine,23019,"4,527","3,804",0.840291584,0,0,162,0.042586751,285,0.0629556,0.2860,"3,757",0.829909432,330,0.087836039
,23019007200,Maine,23019,"3,067","2,535",0.826540593,37,0.014595661,97,0.0382643,202,0.065862406,0.1970,"2,504",0.816432996,194,0.077476038
,23019008001,Maine,23019,"4,480","3,708",0.827678571,3,0.000809061,95,0.02562028,235,0.052455357,0.1090,"3,630",0.810267857,314,0.086501377
,23019009000,Maine,23019,"5,937","4,775",0.804278255,18,0.003769634,211,0.044188482,775,0.130537308,0.0950,"4,661",0.785076638,560,0.120145891
,23019010000,Maine,23019,"5,789","4,619",0.797892555,14,0.003030959,96,0.020783719,338,0.058386595,0.0340,"4,415",0.762653308,639,0.144733862
,23019011000,Maine,23019,"2,792","2,305",0.825573066,27,0.011713666,78,0.033839479,258,0.092406877,0.0770,"2,229",0.798352436,271,0.121579183
,23019012000,Maine,23019,"1,576","1,279",0.811548223,11,0.008600469,35,0.027365129,121,0.07677665,0.0890,"1,250",0.793147208,138,0.1104
,23019012500,Maine,23019,"2,563","2,111",0.823644167,30,0.014211274,59,0.027948839,250,0.097541943,0.1130,"2,056",0.80218494,279,0.135700389
,23019013000,Maine,23019,"3,249","2,702",0.831640505,14,0.005181347,133,0.049222798,452,0.139119729,0.1920,"2,590",0.797168359,408,0.157528958
,23019013500,Maine,23019,"2,601","2,125",0.816993464,21,0.009882353,84,0.039529412,329,0.126489812,0.1240,"2,040",0.784313725,245,0.120098039
,23019014000,Maine,23019,"1,918","1,665",0.868091762,52,0.031231231,0,0,268,0.139728884,0.1260,"1,611",0.839937435,124,0.076970826
,23019015000,Maine,23019,"3,766","3,183",0.84519384,37,0.011624254,152,0.047753691,491,0.130377058,0.1880,"3,102",0.823685608,251,0.080915538
